"Feature / Spec","SPORTEQ One","SPORTEQ Two","SPORTEQ Three","SPORTEQ Three Plus (Three+)","SPORTEQ Four (Flagship)"
"Battery Options","59 kWh","59 kWh","59 kWh, 70 kWh","70 kWh, 79 kWh","79 kWh"
"Power Output","228 bhp","228 bhp","228 bhp","228 bhp (70kWh) / 286 bhp (79kWh)","286 bhp"
"ARAI Range","548 km","548 km","548 km - 600 km","600 km - 682 km","682 km"
"BaaS Eligibility","Yes (Starts ₹11.45L)","Yes (~₹12.95L)","No","No","No"
"Price (Outright)","₹19.45 Lakh","₹20.95 Lakh","₹21.95L (59) / ₹22.95L (70)","₹23.95L (70) / ₹24.95L (79)","₹26.95 Lakh"
"Display / Cockpit","Dual 12.3-inch Screens","Triple-Screen (Coast-to-Coast)","Triple-Screen (Coast-to-Coast)","Triple-Screen (Coast-to-Coast)","Triple-Screen (Coast-to-Coast)"
"Processing Power","Standard","Standard","Standard","Standard","Snapdragon 8295 Chip"
"Camera & Parking","Standard Reverse Camera","540-degree Camera + Front Sensors","540-degree Camera + Front Sensors","540-degree Camera + Front Sensors","540-degree Camera + Front Sensors"
"Safety / TPMS","6 Airbags, ESP, EPB","Adds Individual TPMS per wheel","Individual TPMS","Individual TPMS","Individual TPMS"
"Driver Assistance","Basic Cruise Control","Basic Cruise Control","Basic Cruise Control","Level 2 ADAS + Auto Regen","Level 2 ADAS + Auto Regen"
"Seating & Comfort","Manual Seats","Manual Seats","6-Way Power Driver Seat w/ Memory","6-Way Power Driver Seat w/ Memory","6-Way Power Driver Seat w/ Memory"
"Climate Control","Standard AC","Standard AC","Ventilated Front Seats","Ventilated Front Seats","Ventilated Front Seats"
"Special Tech","Drive Modes, Drift Mode","Manual Drive Video Recording","Manual Drive Video Recording","Manual Drive Video Recording","Augmented Reality (AR) HUD"
